"gene_id","abund_I_72hrsS1","abund_I_72hrsS2","abund_I_72hrsS3","abund_U_72hrsN1","abund_U_72hrsN2","log2FoldChange","pvalue","padj"
"109370598|LOC109370598",239.521640422199,277.146902220543,1006.20522865904,312.149140184511,352.384352323643,5.32890546534233e-07,0.570708958952824,0.999899042080238
"100538868|LOC100538868",4267.27960173965,4135.50519932646,15889.8329885623,5037.74029020002,6706.34124012562,4.34126418040136e-07,0.661055503341254,0.999899042080238
"100538713|GOLGB1",572.006135344895,464.541604789593,23.1553504503126,34.683237798279,722.175642533153,-7.61316036324621e-08,0.946622604627881,0.999899042080238
"100538560|LOC100538560",57.390333645715,59.1772744954896,35.7855416050286,130.062141743546,66.2312758584197,-1.08360970913668e-06,0.332599825739564,0.999899042080238
"100547397|LOC100547397",599.989851750657,598.676760312703,497.840034681722,650.310708717731,896.669580852451,-7.5300058255611e-07,0.56898781247,0.999899042080238
"692129|ACR",77.3109453243929,73.4784491652329,246.288727516962,485.565329175906,64.957597476527,-6.94757657449442e-07,0.40727988401327,0.999899042080238
"100539178|ARSA",584.337942574553,574.019562606249,2326.06020432686,953.789039452672,681.842493773218,4.47265167696224e-07,0.638735151972082,0.999899042080238
"104911291|LOC104911291",180.708405942293,140.546026926788,983.049878208728,1161.88846624235,218.22356276428,-3.88404141095763e-07,0.619739971967344,0.999899042080238
"116216345|RNF212B",9.96030583933896,9.36973512845252,19.9978026616336,0,9.3403081338797,4.82691379424191e-07,0.496972140707601,0.999899042080238
"104912616|CARMIL3",175.016802605528,205.641028871826,2650.23511063124,34908.6788439678,229.686668201314,-9.32763901372723e-07,0.0269744042056223,0.754832222548693
"104912876|LOC104912876",152.250389258467,134.628299477239,207.345638123254,0,205.486778945353,2.76552492965217e-07,0.679370878380524,0.999899042080238
"100549393|MELK",666.866190957647,739.71593119362,737.813666621326,34.683237798279,440.268160674239,9.41594797387923e-07,0.197720330933857,0.999899042080238
"104914112|LOC104914112",614.693160370633,625.306533835673,167.350032799987,719.677184314289,646.604058540854,-5.64044815236782e-07,0.589801724686459,0.999899042080238
"104916954|LOC104916954",81.105347548903,86.793335926718,109.461656674205,0,81.5154164411319,5.41700087654944e-07,0.444059813759728,0.999899042080238
"104917413|LOC104917413",222.446830411904,199.230157468148,101.041529237728,528.919376423754,196.995589732735,-1.1458730752807e-06,0.287928615822622,0.999899042080238
"100540102|MVB12A",585.760843408744,584.37558564296,4736.3216830185,2514.53474037523,603.723553017133,8.29309682647017e-07,0.804143458888717,0.999899042080238
"100540258|ATP13A1",835.242789670282,835.385858294661,1267.22917918984,789.043659910847,767.178945360028,5.2399240790088e-07,0.682897166681362,0.999899042080238
"100545918|DSN1",849.946098290258,900.974004193829,3034.40342492052,1578.08731982169,586.741174591897,4.76662167418899e-07,0.608570077003582,0.999899042080238
"100542725|LOC100542725",179.285505108101,212.051900275504,1537.72577308667,711.006374864719,216.949884382388,-1.14179636949617e-06,0.721738839850045,0.999899042080238
"100540726|GCC1",158.89059315136,158.299209275435,865.168094098045,12564.0028924266,188.504400520118,-1.2074341701637e-06,0.0139206357738535,0.543851002024945
"100542352|DENND6B",310.192381853699,278.62633408293,470.474620513171,0,329.458141449575,3.957533231405e-07,0.507983909347236,0.999899042080238
"100540570|PPP6R2",1473.6509639441,1409.40542090091,1426.15908455335,312.149140184511,1254.14864670367,8.68226538812506e-07,0.380263919894617,0.999899042080238
"100542664|SBF1",1622.58125125612,1553.89659946073,404.166116950912,1890.2364600062,1485.95811220813,-5.37134450830625e-07,0.623200550675152,0.999899042080238
"100542820|MIOX",5.21730305870136,4.9314395412908,57.8883761257816,0,5.94383244883254,6.17975866520657e-07,0.189632768695943,0.999899042080238
"100543748|LMF2",1302.42856356309,1381.78935946968,8476.96329667355,4127.3052979952,853.3645158681,3.46146318409409e-07,0.660387638201961,0.999899042080238
"100543594|NCAPH2",911.130834160483,877.796238349762,6298.25532248504,27893.9939992659,553.625536662688,-8.96128298872832e-07,0.143144927668165,0.999899042080238
"100539274|IRF5",158.89059315136,152.381481825886,338.910129318212,832.397707158695,167.700986949204,-1.03105141255815e-06,0.279832904089369,0.999899042080238
"100543440|TNPO3",554.457025056536,577.964714239282,820.962425056539,1448.02517807815,518.387101430323,-7.33202491726861e-07,0.527462976267,0.999899042080238
"100543281|SMO",286.951668228575,323.995577862805,304.177103642743,216.770236239244,202.514862720937,8.62256527521953e-07,0.495325675283688,0.999899042080238
"100543127|STRIP2",26.0865152935068,24.1640537523249,5.26257964779833,0,20.378854110283,2.71468485346548e-07,0.702805634734712,0.999899042080238
"100540878|AHCYL2",619.910463429335,652.429451312773,395.745989514434,823.726897709126,593.534125961992,-5.52383304438545e-06,0.678887321937222,0.999899042080238
"109365954|SMKR1",16.6005097322316,20.7120460734214,42.1006371823866,390.186425230638,27.1718054803773,-1.55705545698852e-06,0.0257821756052252,0.74111211744694
"109365916|LOC109365916",69.7221408753728,56.7115547248442,78.9386947169749,0,115.480173291604,9.18629166876737e-08,0.907713246611555,0.999899042080238
"100542974|NRF1",154.147590370722,143.011746697433,64.2034717031396,520.248566974185,157.511559894062,-1.43971698231573e-06,0.15466977983907,0.999899042080238
"100541028|UBE2H",1835.54207610675,1832.52293354366,832.540100281696,572.273423671603,2282.43166035169,7.71620157890034e-08,0.948316164366316,0.999899042080238
"100541181|ZC3HC1",445.367961101871,447.281566395075,3025.98329748404,893.093373305683,388.471906477269,6.19199773346912e-07,0.414792773110841,0.999899042080238
"100541335|KLHDC10",213.909425406756,291.448076890286,61.0459239144606,0,222.89371683122,2.71932931653705e-07,0.660497941480827,0.999899042080238
"100544061|TMEM209",388.926228012283,395.994595165651,124.196879688041,0,334.128295516515,7.39510090941521e-07,0.618002847218926,0.999899042080238
"100544374|CEP41",177.388303995846,155.833489504789,401.008569162233,0,150.294049063337,6.1783956331353e-07,0.284765434233008,0.999899042080238
"100541490|MEST",194.937414284205,208.106748642472,241.026147869163,0,174.493938319298,5.18976141807813e-07,0.408037176846997,0.999899042080238
"100541645|COPG2",1406.30032445905,1250.11992371722,911.478794998671,1187.90089459105,1366.23234431022,-1.53900979048756e-07,0.897782347121148,0.999899042080238
"100544691|ANKRD16",131.381177023662,149.422618101111,287.336848769789,0,171.522022094882,4.44011978054914e-07,0.479061963054636,0.999899042080238
"104910273|IL15RA",33.675319742527,33.5337888807774,202.083058475456,364.173996881929,30.1437217047936,-5.56868489086324e-07,0.44099837492778,0.999899042080238
"100544533|FBH1",1821.7873680429,1732.41471085546,1840.85036079986,563.602614222033,2791.05389418751,1.07324215820516e-07,0.925408624116484,0.999899042080238
"100545148|ASB13",139.444281750746,120.327124807495,65.2559876326993,398.857234680208,176.616735622452,-1.61293440785293e-06,0.144224264844667,0.999899042080238
"109366803|LOC109366803",86.7969508856681,70.0264414863293,143.142166420115,0,161.33259503974,1.22838601869443e-07,0.866583214581117,0.999899042080238
"100545306|NET1",403.155236354196,413.254633560169,684.135354213783,398.857234680208,474.23291752471,2.91357050887383e-07,0.818943440940025,0.999899042080238
"100545921|SLC35B4",790.658563532288,779.660591478075,249.446275305641,372.844806331499,870.771453753967,-5.10878845401726e-07,0.967760387894887,0.999899042080238
"100546075|LRGUK",24.1893141812518,15.7806065321306,12.630191154716,0,29.2946027835318,1.42248375735069e-08,0.991344415221102,0.999899042080238
"100544847|GDI2",15331.282188133,15329.3798141024,11299.8110197526,9971.4308670052,16631.6923107547,-1.48093322435131e-06,0.93028314507147,0.999899042080238
"100544998|TASOR2",1004.09368866098,809.24922872582,381.010766500599,450.882091377627,1037.62332178191,-2.00029505266639e-08,0.975139766072129,0.999899042080238
"100546538|LOC100546538",280.311464335682,242.133681477378,7.36761150691766,0,193.174554587057,2.36193061639611e-07,0.658184564916099,0.999899042080238
"100546387|EXOC4",562.52012978362,538.513197908955,637.824653313157,589.615042570743,589.288531355683,-2.94606556426266e-08,0.975084640532692,0.999899042080238
"100546691|CHCHD3",1448.51304920672,1537.12970502034,2193.44319720234,1248.59656073804,1345.00437127868,6.52477290172481e-07,0.608411162263504,0.999899042080238
"100548935|SFMBT2",23.2407136251243,20.7120460734214,10.5251592955967,0,35.6629946929952,-9.23830539696806e-08,0.900898173974864,0.999899042080238
"100547919|PRKCQ",352.879406879438,313.639554826095,167.350032799987,277.465902386232,450.45758772938,-5.10421193213824e-07,0.660315082681388,0.999899042080238
"100547305|RBM17",1047.72931424285,1130.77908681798,893.586024196156,390.186425230638,795.624429222298,1.04381769269337e-06,0.362836577736084,0.999899042080238
"100547769|LOC100547769",612.321658980314,554.786948395215,343.120193036451,572.273423671603,1219.33477093193,-1.09499261089736e-06,0.354326772126833,0.999899042080238
"104911519|LOC104911519",11.3832066735302,11.3423109449688,12.630191154716,0,10.6139865157724,3.68138027570397e-07,0.628500476545057,0.999899042080238
"100547613|LOC100547613",231.458535695115,260.380007780154,8.42012743647733,17.3416188991395,213.55340869734,2.08403522658037e-07,0.753562470134717,0.999899042080238
"109367703|LOC109367703",94.3857553346883,87.7796238349762,34.733025675469,0,55.6172893426473,5.98428228308911e-07,0.385600474601895,0.999899042080238
"104911649|LOC104911649",122.36947174045,106.519094091881,276.811689474192,0,119.725767897913,5.78689757374226e-07,0.346073127582647,0.999899042080238
"100548072|LOC100548072",1885.34360530345,1852.24869170882,2726.01625755953,2471.18069312738,3363.78460657858,-6.90647176540274e-07,0.590482223750737,0.999899042080238
"100549092|ITIH5",357.622409660075,370.844253505068,679.925290495544,1170.55927569192,638.961988249498,-1.23398948477926e-06,0.295396466713696,0.999899042080238
"100549246|TAF3",1227.96341990708,1213.62727111167,526.257964779833,763.031231562137,770.150861584444,4.79978952177959e-07,0.680394295019055,0.999899042080238
"100548225|ITIH2",36.0468211328458,39.4515163303264,31.57547788679,0,49.6734568938148,2.08853414700635e-07,0.79795477636058,0.999899042080238
"100548377|KIN",268.928257662152,249.037696835185,203.135574405015,355.503187432359,275.539089949451,-3.31152386652868e-06,0.63448959327485,0.999899042080238
"100548528|ATP5F1C",5000.07353134816,5351.10504625465,9247.40495711122,4968.37381460346,4616.65957490036,6.51433054297736e-07,0.595062218218777,0.999899042080238
"100549397|GATA3",284.580166838256,284.05091757835,613.616786933285,919.105801654393,443.664636359286,-9.1803244973488e-07,0.409362883583634,0.999899042080238
"100549706|LOC100549706",534.062113099794,559.225243982376,67.3610194918186,190.757807890534,638.961988249498,-6.13869471447657e-08,0.931007844761461,0.999899042080238
"100550014|DMTF1",275.568461555045,317.584706459127,82.0962425056539,424.869663028917,372.763206433926,-8.6454792249874e-07,0.413527874922213,0.999899042080238
"100539233|TMEM243",4.26870250257384,11.8354548990979,28.417930098111,0,11.0385459764033,4.0959860681082e-07,0.527692238198294,0.999899042080238
"100539386|MEIG1",32.2524189083357,33.5337888807774,18.945286732074,0,35.6629946929952,2.60395230212803e-07,0.746622608987207,0.999899042080238
"100550168|DCLRE1C",246.161844315092,226.353074945248,86.3063062238926,0,292.096908914056,1.33602271177929e-07,0.843354243579294,0.999899042080238
