"gene_id","abund_I_72hrsS1","abund_I_72hrsS2","abund_I_72hrsS3","abund_U_72hrsN1","abund_U_72hrsN2","log2FoldChange","pvalue","padj"
"116217585|LOC116217585",0,0,0,286.136711835802,1.27367838189269,-7.53609753399063e-07,4.77280547499683e-05,0.0276407690986773
"104917496|LOC104917496",0,0,0,208.099426789674,6.36839190946343,-9.89032392820991e-07,1.59646890200938e-05,0.00966589353398409
"104910130|LOC104910130",0,0,0,147.403760642686,3.82103514567806,-9.28497539995111e-07,6.49151656988341e-05,0.0360279169628529
"104910665|LOC104910665",0,0,0,546.260995322894,0,-4.50570738086087e-07,6.69999775744229e-16,1.21694911247143e-12
"100303659|MSTN",0,0,0,398.857234680208,0,-4.56558040542981e-07,2.80238024213493e-15,2.07376137917985e-12
"100550955|FZD7",0,0,0,416.198853579348,0,-4.55786791586957e-07,1.29771493490061e-15,1.21694911247143e-12
"109369261|LOC109369261",0,0,0,346.83237798279,3.39647568504716,-8.47616410423422e-07,1.2226548589705e-05,0.00857145406394057
"100542092|KLHL30",0,0,0,329.49075908365,2.97191622441627,-8.35470571071442e-07,1.57342249684869e-05,0.00966589353398409
"100543786|LOC100543786",0,0,0,650.310708717731,0,-4.46702944657054e-07,4.67394961873081e-16,1.21694911247143e-12
"104910278|LRRIQ1",0,0,0,424.869663028917,0,-4.55404364809338e-07,1.23739562668382e-15,1.21694911247143e-12
"109365568|LOC109365568",0,0,0,381.515615781069,0,-4.55637142615399e-07,1.62264297007869e-15,1.27138849184989e-12
"100548579|LOC100548579",0,0,0,182.086998440965,1.69823784252358,-8.0675183932335e-07,9.37805325875526e-05,0.049966267762648
"109365644|LOC109365644",0,0,0,433.540472478487,0,-4.55024314305967e-07,1.17288938747322e-15,1.21694911247143e-12
"100550325|PCDH9",0,0,0,537.590185873324,0,-4.50905067029839e-07,6.96753569566798e-16,1.21694911247143e-12
"100543709|CAPN5",0,0,0,390.186425230638,2.54735676378537,-8.05210590290408e-07,1.32015239970108e-05,0.00879221498200917
"109370353|LOC109370353",0,0,0,424.869663028917,0,-4.55404364809338e-07,1.23739562668382e-15,1.21694911247143e-12
"100539219|LOC100539219",0,0,0,537.590185873324,0,-4.50905067029839e-07,6.96753569566798e-16,1.21694911247143e-12
"104910514|LOC104910514",0,0,0,485.565329175906,0,-4.52800383739064e-07,8.92756589476225e-16,1.21694911247143e-12
"104913041|LOC104913041",0,0,0,390.186425230638,0,-4.56946416205475e-07,1.52658386422347e-15,1.27088106696604e-12
"104910475|HHLA1",0,0,0,407.528044129778,0,-4.5617141926259e-07,1.37043818972007e-15,1.21694911247143e-12
"104912265|LOC104912265",0,0,0,407.528044129778,0,-4.5617141926259e-07,1.37043818972007e-15,1.21694911247143e-12
"109370635|LOC109370635",0,0,0,754.360422112568,0,-4.42248221472986e-07,3.32474408914852e-16,1.21694911247143e-12
"100539984|CHL1",0,0,0,433.540472478487,0,-4.55024314305967e-07,1.17288938747322e-15,1.21694911247143e-12
"104914060|LOC104914060",0,0,0,407.528044129778,0,-4.5617141926259e-07,1.37043818972007e-15,1.21694911247143e-12
"104914234|LOC104914234",0,0,0,468.223710276766,0,-4.53530531792347e-07,9.73248050240746e-16,1.21694911247143e-12
