Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
I_4hrsS2_Data1	(1.0, 24.647356411994426)	(2.0, 12.570992873972072)	(3.0, 7.416230688288724)	(4.0, 4.973159676455899)	(5.0, 3.592477833898721)	(6.0, 2.791169096410667)	(7.0, 2.1850731049761527)	(8.0, 1.7718578673747085)	(9.0, 1.5384923226253213)	('>10', 16.582932803179144)	('>50', 4.860338549118897)	('>100', 9.721783352967007)	('>500', 3.355702042650608)	('>1k', 3.429946609652072)	('>5k', 0.4967185050592744)	('>10k+', 0.06576826137636368)
I_4hrsS2_Data2	(1.0, 25.50601037988262)	(2.0, 12.725274204625702)	(3.0, 7.775765249887037)	(4.0, 5.278439692947853)	(5.0, 3.7337987616153923)	(6.0, 2.872490434944014)	(7.0, 2.2088162451935442)	(8.0, 1.762575001256544)	(9.0, 1.5351750645588378)	('>10', 14.996706464079152)	('>50', 4.45982710602647)	('>100', 9.617757136413445)	('>500', 3.351463178034215)	('>1k', 3.545685700561727)	('>5k', 0.4614629655264208)	('>10k+', 0.16875241444718872)
I_4hrsS3_Data1	(1.0, 23.409906339858658)	(2.0, 12.035836783548426)	(3.0, 7.206542328269054)	(4.0, 5.009595280885175)	(5.0, 3.6333286292602853)	(6.0, 2.5954440936603955)	(7.0, 2.053350588066426)	(8.0, 1.794347937156289)	(9.0, 1.5161717334182234)	('>10', 16.082167571628133)	('>50', 4.938197160111397)	('>100', 10.390748177376793)	('>500', 4.036595056999163)	('>1k', 4.589277646584463)	('>5k', 0.5748393529694801)	('>10k+', 0.13365132020761047)
I_4hrsS3_Data2	(1.0, 24.774173610107272)	(2.0, 12.133520424178815)	(3.0, 7.504003054925929)	(4.0, 5.001680976623421)	(5.0, 3.6709820855838675)	(6.0, 2.7063820482502283)	(7.0, 2.160882286024231)	(8.0, 1.77211625938345)	(9.0, 1.429104994116254)	('>10', 14.542733054968892)	('>50', 4.426910687668731)	('>100', 10.526302742384896)	('>500', 4.164573242603321)	('>1k', 4.388709127780011)	('>5k', 0.6144045919257928)	('>10k+', 0.18352081347484667)
I_72hrsS1_Data1	(1.0, 21.146459391206882)	(2.0, 10.828304253776256)	(3.0, 6.482842598410138)	(4.0, 4.1527142044482845)	(5.0, 2.9740619483700956)	(6.0, 2.339123552067047)	(7.0, 1.7586547056850026)	(8.0, 1.5071672486386956)	(9.0, 1.2521049800128463)	('>10', 13.528632789891434)	('>50', 4.473029649303984)	('>100', 11.039342483890765)	('>500', 5.058980391339171)	('>1k', 9.85485301432496)	('>5k', 2.658659732847337)	('>10k+', 0.9450690557871892)
I_72hrsS1_Data2	(1.0, 23.22637490932801)	(2.0, 11.132388272690777)	(3.0, 6.786446600288157)	(4.0, 4.376285296016855)	(5.0, 2.974863451004486)	(6.0, 2.2420074665626926)	(7.0, 1.6995168732111585)	(8.0, 1.422832549728246)	(9.0, 1.2041224850922094)	('>10', 11.910160643052606)	('>50', 4.033282975047656)	('>100', 11.304713667110827)	('>500', 5.792256167742825)	('>1k', 10.042438299881674)	('>5k', 1.6147400964341352)	('>10k+', 0.23757024680768932)
I_72hrsS2_Data1	(1.0, 21.152455766799957)	(2.0, 10.850431123905764)	(3.0, 6.319505766181628)	(4.0, 4.118996724963339)	(5.0, 2.9183399896836035)	(6.0, 2.2585746515887495)	(7.0, 1.791336052958249)	(8.0, 1.443622631300766)	(9.0, 1.2322693959953437)	('>10', 13.628595063329833)	('>50', 4.407704351567723)	('>100', 11.164887242750227)	('>500', 5.113457996793003)	('>1k', 9.897780679064466)	('>5k', 2.684989448031766)	('>10k+', 1.017053115085409)
I_72hrsS2_Data2	(1.0, 23.076966274012022)	(2.0, 11.155596924059042)	(3.0, 6.612865307481221)	(4.0, 4.261760293086149)	(5.0, 3.0241473915189823)	(6.0, 2.2768624553496957)	(7.0, 1.7389069258920433)	(8.0, 1.3603481148243617)	(9.0, 1.182761470464777)	('>10', 11.834149549280589)	('>50', 4.056114520067399)	('>100', 11.53827053146657)	('>500', 5.945218368441348)	('>1k', 10.158322630318937)	('>5k', 1.4621671519078012)	('>10k+', 0.3155420918288615)
I_72hrsS3_Data1	(1.0, 17.252680139586705)	(2.0, 8.736631322326147)	(3.0, 5.391572321114023)	(4.0, 3.574511332337768)	(5.0, 2.8138573196086774)	(6.0, 2.2070307520941435)	(7.0, 1.822552088405446)	(8.0, 1.543272359732999)	(9.0, 1.3797559575018916)	('>10', 18.764341197831712)	('>50', 6.563926723624934)	('>100', 14.467121715016173)	('>500', 5.342782863323649)	('>1k', 7.362893259524272)	('>5k', 1.4217361085547007)	('>10k+', 1.3553345394168226)
I_72hrsS3_Data2	(1.0, 16.441972155473437)	(2.0, 7.617629498206094)	(3.0, 4.956809235967279)	(4.0, 3.5559905301091113)	(5.0, 2.757704349040375)	(6.0, 2.1635978753278122)	(7.0, 1.8681344977792078)	(8.0, 1.5815509949214692)	(9.0, 1.3700485126367625)	('>10', 18.731368466808433)	('>50', 6.959951266320457)	('>100', 16.119377876832317)	('>500', 6.381176655975783)	('>1k', 8.532420150831273)	('>5k', 0.8191102092417678)	('>10k+', 0.14315772452849276)
