Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
I_4hrsS1_Data1	(1, 36.444964385399)	(2, 36.3805192580598)	(3, 36.442948954828864)	(4, 36.49471469398474)	(5, 36.49550936107568)	(6, 36.46613752659226)	(7, 36.41309221517087)	(8, 36.46517883644999)	(9, 36.466516629413974)	(10, 36.480120096095696)	(15, 36.45990236244518)	(20, 36.44066103642039)	(25, 36.368429486768235)	(30, 36.3166790272043)	(35, 36.27240689606798)	(40, 36.22911574895021)	(45, 36.181425469379654)	(50, 36.15877356521531)	(55, 36.15156676230045)	(60, 36.07229899798382)	(65, 36.01178980371124)	(70, 36.00551271424576)	(75, 36.011103879412474)	(80, 35.924942805782166)	(85, 35.85024094494385)	(90, 35.8250556758819)	(95, 35.772620083264684)	(100, 35.73000954997976)	(105, 35.697975875794086)	(110, 35.639937077669856)	(115, 35.57465275842783)	(120, 35.46763079437402)	(125, 35.407591768119694)	(130, 35.3751600147874)	(135, 35.278763136349404)	(140, 35.24281869920081)	(145, 35.14161642098045)
I_4hrsS1_Data2	(1, 36.27931917388839)	(2, 36.17666047142834)	(3, 36.202476512839986)	(4, 36.242560367753796)	(5, 36.253705915864515)	(6, 36.183907157392845)	(7, 36.16822542027966)	(8, 36.21660719494493)	(9, 36.21418609067417)	(10, 36.21141930835735)	(15, 36.197097241076676)	(20, 36.15674654396801)	(25, 36.10580584931436)	(30, 36.05357450495832)	(35, 35.99063923439942)	(40, 35.96355934939946)	(45, 35.90505310754181)	(50, 35.85174210871627)	(55, 35.83536612853419)	(60, 35.766297272640955)	(65, 35.730610924918935)	(70, 35.67313243610372)	(75, 35.61263702447216)	(80, 35.54692108203035)	(85, 35.493075126406815)	(90, 35.42558695445762)	(95, 35.40652975339658)	(100, 35.324757219068985)	(105, 35.26045520415841)	(110, 35.17103713612146)	(115, 35.04384232919162)	(120, 35.017597597721604)	(125, 34.84051369897206)	(130, 34.774947369876614)	(135, 34.69027137127823)	(140, 34.489233434091695)	(145, 34.335140900936004)
I_4hrsS2_Data1	(1, 36.44361117503204)	(2, 36.3643545871209)	(3, 36.43232212670256)	(4, 36.48380871631631)	(5, 36.48502197823974)	(6, 36.45314675656668)	(7, 36.39457400958396)	(8, 36.45244902985554)	(9, 36.45505713857028)	(10, 36.4668088845553)	(15, 36.44739026349218)	(20, 36.429063810702026)	(25, 36.35741552764963)	(30, 36.30410118927978)	(35, 36.25909947453626)	(40, 36.21796916737474)	(45, 36.169697762300146)	(50, 36.14963157279592)	(55, 36.14424251609493)	(60, 36.06443111361672)	(65, 36.00171668473753)	(70, 35.99770315363172)	(75, 36.00659235976614)	(80, 35.920072842223775)	(85, 35.84483989593448)	(90, 35.81998423366131)	(95, 35.76650974471757)	(100, 35.721817103257784)	(105, 35.691749382669784)	(110, 35.632212881217484)	(115, 35.570102476064925)	(120, 35.4585853971095)	(125, 35.401636721747)	(130, 35.36889699314272)	(135, 35.26939016196085)	(140, 35.23702558493674)	(145, 35.130711398852995)
I_4hrsS2_Data2	(1, 36.24973095916848)	(2, 36.085540121965174)	(3, 36.14365981672466)	(4, 36.194484875274654)	(5, 36.20902844816116)	(6, 36.13725227719153)	(7, 36.126627287554804)	(8, 36.17945225672784)	(9, 36.1774304568376)	(10, 36.174852881881264)	(15, 36.162766568810355)	(20, 36.12059489871892)	(25, 36.067639665657374)	(30, 36.016628806154316)	(35, 35.95288654221565)	(40, 35.92487776386122)	(45, 35.866983402172465)	(50, 35.81278996454445)	(55, 35.79713391135828)	(60, 35.72890618775714)	(65, 35.694240362555014)	(70, 35.634408077817)	(75, 35.57495671688089)	(80, 35.507797422061074)	(85, 35.454027807154446)	(90, 35.384202369257885)	(95, 35.368434342106696)	(100, 35.28135916654841)	(105, 35.21519391113907)	(110, 35.12340556989011)	(115, 34.99298298667799)	(120, 34.9694457519236)	(125, 34.78496227559688)	(130, 34.71937621462435)	(135, 34.63976696053477)	(140, 34.43237055790362)	(145, 34.274815186495985)
I_4hrsS3_Data1	(1, 36.44777758859518)	(2, 36.37072223401267)	(3, 36.43847689916516)	(4, 36.48997327773507)	(5, 36.489658951296164)	(6, 36.45888452564215)	(7, 36.396879745390564)	(8, 36.45962436233697)	(9, 36.46346504792399)	(10, 36.47818836536398)	(15, 36.4598753717254)	(20, 36.44273077694549)	(25, 36.37146343603472)	(30, 36.318674674846314)	(35, 36.27481878794681)	(40, 36.2310912016506)	(45, 36.18173952126407)	(50, 36.15897946608076)	(55, 36.152383369430844)	(60, 36.07026123528785)	(65, 36.007189993918274)	(70, 36.002604492207695)	(75, 36.01207851796138)	(80, 35.92992374647399)	(85, 35.85584703395709)	(90, 35.830043292920315)	(95, 35.77305646170227)	(100, 35.72946229179589)	(105, 35.69781085858956)	(110, 35.63919296501252)	(115, 35.57591969776426)	(120, 35.46661788236095)	(125, 35.40760074607278)	(130, 35.37780486982081)	(135, 35.28170464285169)	(140, 35.248003296844296)	(145, 35.14821926835634)
I_4hrsS3_Data2	(1, 36.22874004791897)	(2, 36.12703672188144)	(3, 36.15859550795293)	(4, 36.1960369971555)	(5, 36.205496004309616)	(6, 36.138748769950595)	(7, 36.11515993101885)	(8, 36.16847816811636)	(9, 36.16312277243348)	(10, 36.16354047221448)	(15, 36.14767782935458)	(20, 36.10416539252857)	(25, 36.050654403351)	(30, 35.99893637996736)	(35, 35.93381408579997)	(40, 35.90655969461646)	(45, 35.84466666037545)	(50, 35.78990368620283)	(55, 35.77518507713396)	(60, 35.70464550583467)	(65, 35.66940991360089)	(70, 35.609339812078765)	(75, 35.54695432639071)	(80, 35.482106784250796)	(85, 35.427485583248725)	(90, 35.358240753773075)	(95, 35.33986219430976)	(100, 35.25027451340685)	(105, 35.18484975603087)	(110, 35.09410484366214)	(115, 34.96417393858427)	(120, 34.942768453136374)	(125, 34.757197145144104)	(130, 34.693751949509036)	(135, 34.61658934238258)	(140, 34.41234561668565)	(145, 34.259953969327)
I_72hrsS1_Data1	(1, 36.47403363451923)	(2, 36.40357096011109)	(3, 36.46870918247604)	(4, 36.52068744562899)	(5, 36.525524210712526)	(6, 36.49467368847438)	(7, 36.437033301320085)	(8, 36.488939094914514)	(9, 36.4912240972841)	(10, 36.50446610490195)	(15, 36.48468818741171)	(20, 36.46936510736501)	(25, 36.40262692600918)	(30, 36.354680995737766)	(35, 36.31446742664216)	(40, 36.27468234260612)	(45, 36.228260253161)	(50, 36.20821797757665)	(55, 36.20721770669529)	(60, 36.12877782250586)	(65, 36.06789510106789)	(70, 36.064345680799235)	(75, 36.07180788430601)	(80, 35.981920885555894)	(85, 35.90629211664885)	(90, 35.88703540705829)	(95, 35.83621071654904)	(100, 35.79038428436051)	(105, 35.7650754027208)	(110, 35.7057396391411)	(115, 35.6492029521507)	(120, 35.540128760786786)	(125, 35.486286992244345)	(130, 35.4475107908339)	(135, 35.350063230991495)	(140, 35.30725327540794)	(145, 35.19739797684731)
I_72hrsS1_Data2	(1, 36.19811136892584)	(2, 36.09552332117634)	(3, 36.12947465600831)	(4, 36.162953983840595)	(5, 36.18089698417078)	(6, 36.10640652004899)	(7, 36.09009991451406)	(8, 36.1311543214623)	(9, 36.125983452616616)	(10, 36.124695333854994)	(15, 36.112642540635974)	(20, 36.064683201988544)	(25, 36.00985784005536)	(30, 35.96036625773131)	(35, 35.890809322138246)	(40, 35.86589342351321)	(45, 35.8069951015202)	(50, 35.751685650977166)	(55, 35.73336399971656)	(60, 35.66321901536888)	(65, 35.62539871072535)	(70, 35.565053098274646)	(75, 35.49645685171532)	(80, 35.426509284094244)	(85, 35.36993144540585)	(90, 35.30367219636537)	(95, 35.28789648814127)	(100, 35.19721396588062)	(105, 35.12827056360456)	(110, 35.0271332822534)	(115, 34.888908254184976)	(120, 34.85319430523284)	(125, 34.65220315447542)	(130, 34.57926328189545)	(135, 34.49351993191301)	(140, 34.26204936338422)	(145, 34.090354787232094)
I_72hrsS2_Data1	(1, 36.46857291643704)	(2, 36.38153383055473)	(3, 36.45485777335861)	(4, 36.509332226658756)	(5, 36.5173144046804)	(6, 36.48586209369313)	(7, 36.428260649853186)	(8, 36.48407355085809)	(9, 36.48249508749181)	(10, 36.49835204152471)	(15, 36.47961965567275)	(20, 36.46615252527043)	(25, 36.39998800447812)	(30, 36.35160497189128)	(35, 36.30949053598044)	(40, 36.27230688038407)	(45, 36.22188617691301)	(50, 36.20546339200844)	(55, 36.204899107927766)	(60, 36.12442194079863)	(65, 36.06249349124562)	(70, 36.05980415837393)	(75, 36.06748483842322)	(80, 35.97503728739582)	(85, 35.90096007842967)	(90, 35.880757073162115)	(95, 35.83237986997801)	(100, 35.784163598994475)	(105, 35.761172983895136)	(110, 35.698316018219465)	(115, 35.644221691527164)	(120, 35.5327375276986)	(125, 35.479189536816406)	(130, 35.43882977819714)	(135, 35.34039779804532)	(140, 35.29633154789033)	(145, 35.18492395382885)
I_72hrsS2_Data2	(1, 36.214205402162236)	(2, 36.069218580663545)	(3, 36.120602187825355)	(4, 36.16708052094026)	(5, 36.18100805841272)	(6, 36.10572647800482)	(7, 36.09527743143047)	(8, 36.13990171984743)	(9, 36.13798001619711)	(10, 36.13543930152812)	(15, 36.12592897819777)	(20, 36.07844955564746)	(25, 36.023103690816896)	(30, 35.97397469460479)	(35, 35.905146683924784)	(40, 35.88199551609496)	(45, 35.82302731932758)	(50, 35.76813777888076)	(55, 35.75032482873631)	(60, 35.68157679872456)	(65, 35.642823508045126)	(70, 35.58337974144705)	(75, 35.51520651790361)	(80, 35.44480994542406)	(85, 35.38888427599107)	(90, 35.322345757975725)	(95, 35.305103668404215)	(100, 35.21747248434245)	(105, 35.14804649539711)	(110, 35.047617842068334)	(115, 34.90898652810924)	(120, 34.87316373831741)	(125, 34.672498818063204)	(130, 34.59887768038182)	(135, 34.51162788797909)	(140, 34.2810128355513)	(145, 34.10572048281389)
I_72hrsS3_Data1	(1, 36.13836010943852)	(2, 36.03138597777862)	(3, 36.20398672743949)	(4, 36.31400160260427)	(5, 36.34096513648415)	(6, 36.33646533849423)	(7, 36.26568780050515)	(8, 36.301676643188216)	(9, 36.323197629460964)	(10, 36.35799350495161)	(15, 36.334367754286745)	(20, 36.288397344517605)	(25, 36.20540206473432)	(30, 36.13969016856454)	(35, 36.11990177378052)	(40, 36.08663877067908)	(45, 36.04227689476421)	(50, 36.00212167987212)	(55, 35.962751789588246)	(60, 35.932125973428455)	(65, 35.87352224442222)	(70, 35.84545227212145)	(75, 35.78945172659992)	(80, 35.73202423258408)	(85, 35.67099541239029)	(90, 35.643865774749734)	(95, 35.588344005233125)	(100, 35.54039025669883)	(105, 35.48940856791603)	(110, 35.42972228868498)	(115, 35.36493392447371)	(120, 35.29517117926766)	(125, 35.2597954372054)	(130, 35.18518211900996)	(135, 35.118230021332444)	(140, 35.05622254025588)	(145, 34.951874780160225)
I_72hrsS3_Data2	(1, 35.97608378607039)	(2, 36.01950417375184)	(3, 36.05503595348081)	(4, 36.13865114409935)	(5, 36.18735263304432)	(6, 36.143041622161114)	(7, 36.136128376526294)	(8, 36.18555133387292)	(9, 36.20049743801633)	(10, 36.189415146470104)	(15, 36.17333029307498)	(20, 36.14254284729359)	(25, 36.096342833332116)	(30, 36.040623102028434)	(35, 35.99941381231418)	(40, 35.96271227701065)	(45, 35.89732853468441)	(50, 35.85791466846494)	(55, 35.82464305129816)	(60, 35.77362885291429)	(65, 35.71596168519796)	(70, 35.646713968558664)	(75, 35.61097117118137)	(80, 35.546409764835474)	(85, 35.50032902171871)	(90, 35.40839848730975)	(95, 35.34892294804797)	(100, 35.283625208732545)	(105, 35.20983868884313)	(110, 35.15930551971745)	(115, 35.025723673706764)	(120, 34.94770879477892)	(125, 34.90692378244158)	(130, 34.798586214986834)	(135, 34.683628040040574)	(140, 34.56516096738884)	(145, 34.48706106918443)
U_12hrsN1_Data1	(1, 36.45218483439661)	(2, 36.384916233840954)	(3, 36.44464489558209)	(4, 36.49612260129398)	(5, 36.49528206535758)	(6, 36.46526711579023)	(7, 36.40680559041985)	(8, 36.465376548720855)	(9, 36.464742065296235)	(10, 36.48111173765147)	(15, 36.460631443840875)	(20, 36.4420334063315)	(25, 36.36948908970503)	(30, 36.31531189325203)	(35, 36.271109261063536)	(40, 36.22949927903884)	(45, 36.180899590141024)	(50, 36.159638433992995)	(55, 36.14965681496544)	(60, 36.07145260935699)	(65, 36.00896458538624)	(70, 36.00312904962446)	(75, 36.01197271459071)	(80, 35.929545080579146)	(85, 35.85771836099549)	(90, 35.82898427144037)	(95, 35.773516597542184)	(100, 35.7264932243373)	(105, 35.69780058293308)	(110, 35.637835439626045)	(115, 35.57650335977068)	(120, 35.46468077425173)	(125, 35.40843152233698)	(130, 35.377655353569075)	(135, 35.28174816840631)	(140, 35.250308954829826)	(145, 35.15067765608006)
U_12hrsN1_Data2	(1, 36.2336602337056)	(2, 36.099934478764325)	(3, 36.14293672273307)	(4, 36.19188233248871)	(5, 36.204217679711185)	(6, 36.13494584306744)	(7, 36.113979641319226)	(8, 36.16941246686463)	(9, 36.16701948727407)	(10, 36.16493725367077)	(15, 36.15261722310079)	(20, 36.11093549621353)	(25, 36.05789297874953)	(30, 36.00813793140297)	(35, 35.94222366725582)	(40, 35.91421948347459)	(45, 35.85441080508699)	(50, 35.79828351578916)	(55, 35.78220843173804)	(60, 35.712771297938865)	(65, 35.678704510012075)	(70, 35.61741916978004)	(75, 35.5592746239183)	(80, 35.492728290599246)	(85, 35.439700961159524)	(90, 35.37056037477118)	(95, 35.3512219235519)	(100, 35.260409034684486)	(105, 35.19514353166378)	(110, 35.10443168196903)	(115, 34.97513305711022)	(120, 34.95675593667536)	(125, 34.77487259765589)	(130, 34.71184166381163)	(135, 34.63486757963523)	(140, 34.43793105274524)	(145, 34.287812274311094)
