Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
I_4hrsS1_Data1	(14.0, 6.0)	(15.0, 49.0)	(16.0, 202.0)	(17.0, 422.0)	(18.0, 673.0)	(19.0, 1003.0)	(20.0, 1489.0)	(21.0, 2550.0)	(22.0, 4576.0)	(23.0, 8508.0)	(24.0, 15609.0)	(25.0, 28032.0)	(26.0, 46130.0)	(27.0, 72360.0)	(28.0, 103128.0)	(29.0, 144834.0)	(30.0, 191331.0)	(31.0, 252464.0)	(32.0, 328622.0)	(33.0, 464916.0)	(34.0, 728291.0)	(35.0, 2126153.0)	(36.0, 13447826.0)	(37.0, 735514.0)			
I_4hrsS1_Data2	(11.0, 1.0)	(12.0, 40.0)	(13.0, 281.0)	(14.0, 751.0)	(15.0, 1663.0)	(16.0, 2720.0)	(17.0, 3894.0)	(18.0, 5281.0)	(19.0, 7502.0)	(20.0, 11369.0)	(21.0, 18324.0)	(22.0, 27072.0)	(23.0, 38520.0)	(24.0, 50205.0)	(25.0, 64234.0)	(26.0, 78229.0)	(27.0, 98077.0)	(28.0, 119244.0)	(29.0, 151781.0)	(30.0, 191029.0)	(31.0, 255760.0)	(32.0, 354558.0)	(33.0, 583758.0)	(34.0, 1216560.0)	(35.0, 3972972.0)	(36.0, 11026318.0)	(37.0, 424545.0)
I_4hrsS2_Data1	(14.0, 1.0)	(15.0, 38.0)	(16.0, 132.0)	(17.0, 285.0)	(18.0, 469.0)	(19.0, 724.0)	(20.0, 1153.0)	(21.0, 2119.0)	(22.0, 3922.0)	(23.0, 7590.0)	(24.0, 14442.0)	(25.0, 26890.0)	(26.0, 45108.0)	(27.0, 73071.0)	(28.0, 106541.0)	(29.0, 150640.0)	(30.0, 199206.0)	(31.0, 266006.0)	(32.0, 347991.0)	(33.0, 495513.0)	(34.0, 793868.0)	(35.0, 2416522.0)	(36.0, 14154915.0)	(37.0, 674238.0)			
I_4hrsS2_Data2	(11.0, 1.0)	(12.0, 54.0)	(13.0, 227.0)	(14.0, 602.0)	(15.0, 1242.0)	(16.0, 2103.0)	(17.0, 3128.0)	(18.0, 4470.0)	(19.0, 6765.0)	(20.0, 10484.0)	(21.0, 17280.0)	(22.0, 26130.0)	(23.0, 38104.0)	(24.0, 49787.0)	(25.0, 65253.0)	(26.0, 80291.0)	(27.0, 101775.0)	(28.0, 125979.0)	(29.0, 161187.0)	(30.0, 206208.0)	(31.0, 278041.0)	(32.0, 396300.0)	(33.0, 671477.0)	(34.0, 1434079.0)	(35.0, 4592059.0)	(36.0, 11146494.0)	(37.0, 361864.0)
I_4hrsS3_Data1	(14.0, 4.0)	(15.0, 34.0)	(16.0, 112.0)	(17.0, 223.0)	(18.0, 394.0)	(19.0, 663.0)	(20.0, 1119.0)	(21.0, 2019.0)	(22.0, 4112.0)	(23.0, 7958.0)	(24.0, 15054.0)	(25.0, 27191.0)	(26.0, 45449.0)	(27.0, 72359.0)	(28.0, 105646.0)	(29.0, 150276.0)	(30.0, 199097.0)	(31.0, 263710.0)	(32.0, 348414.0)	(33.0, 496084.0)	(34.0, 791394.0)	(35.0, 2386461.0)	(36.0, 14307327.0)	(37.0, 696864.0)			
I_4hrsS3_Data2	(11.0, 4.0)	(12.0, 23.0)	(13.0, 199.0)	(14.0, 556.0)	(15.0, 1182.0)	(16.0, 1992.0)	(17.0, 3059.0)	(18.0, 4228.0)	(19.0, 6630.0)	(20.0, 10634.0)	(21.0, 17630.0)	(22.0, 27140.0)	(23.0, 39230.0)	(24.0, 51818.0)	(25.0, 67551.0)	(26.0, 83932.0)	(27.0, 105445.0)	(28.0, 131012.0)	(29.0, 167240.0)	(30.0, 212914.0)	(31.0, 288335.0)	(32.0, 408855.0)	(33.0, 691930.0)	(34.0, 1467468.0)	(35.0, 4658503.0)	(36.0, 11131083.0)	(37.0, 343371.0)
I_72hrsS1_Data1	(13.0, 1.0)	(14.0, 5.0)	(15.0, 29.0)	(16.0, 73.0)	(17.0, 204.0)	(18.0, 314.0)	(19.0, 558.0)	(20.0, 869.0)	(21.0, 1616.0)	(22.0, 3023.0)	(23.0, 6280.0)	(24.0, 12169.0)	(25.0, 23269.0)	(26.0, 39730.0)	(27.0, 65432.0)	(28.0, 97509.0)	(29.0, 140258.0)	(30.0, 187967.0)	(31.0, 249457.0)	(32.0, 325526.0)	(33.0, 462665.0)	(34.0, 740651.0)	(35.0, 2241553.0)	(36.0, 14587063.0)	(37.0, 711789.0)		
I_72hrsS1_Data2	(12.0, 39.0)	(13.0, 173.0)	(14.0, 540.0)	(15.0, 1113.0)	(16.0, 1692.0)	(17.0, 2601.0)	(18.0, 3931.0)	(19.0, 6155.0)	(20.0, 9544.0)	(21.0, 16225.0)	(22.0, 25651.0)	(23.0, 38454.0)	(24.0, 51982.0)	(25.0, 67960.0)	(26.0, 83948.0)	(27.0, 105113.0)	(28.0, 130247.0)	(29.0, 166157.0)	(30.0, 212976.0)	(31.0, 290441.0)	(32.0, 420953.0)	(33.0, 745332.0)	(34.0, 1665027.0)	(35.0, 5180597.0)	(36.0, 10395919.0)	(37.0, 275240.0)	
I_72hrsS2_Data1	(14.0, 4.0)	(15.0, 27.0)	(16.0, 82.0)	(17.0, 189.0)	(18.0, 290.0)	(19.0, 522.0)	(20.0, 808.0)	(21.0, 1460.0)	(22.0, 2784.0)	(23.0, 5567.0)	(24.0, 10500.0)	(25.0, 20615.0)	(26.0, 35804.0)	(27.0, 59553.0)	(28.0, 89154.0)	(29.0, 128666.0)	(30.0, 173374.0)	(31.0, 234357.0)	(32.0, 310294.0)	(33.0, 445938.0)	(34.0, 726978.0)	(35.0, 2286196.0)	(36.0, 13841443.0)	(37.0, 632488.0)			
I_72hrsS2_Data2	(11.0, 5.0)	(12.0, 44.0)	(13.0, 192.0)	(14.0, 482.0)	(15.0, 1002.0)	(16.0, 1615.0)	(17.0, 2603.0)	(18.0, 3616.0)	(19.0, 5818.0)	(20.0, 9385.0)	(21.0, 15028.0)	(22.0, 23286.0)	(23.0, 34268.0)	(24.0, 46245.0)	(25.0, 60776.0)	(26.0, 76291.0)	(27.0, 97562.0)	(28.0, 121712.0)	(29.0, 156828.0)	(30.0, 201140.0)	(31.0, 275505.0)	(32.0, 399591.0)	(33.0, 707158.0)	(34.0, 1586085.0)	(35.0, 4944181.0)	(36.0, 9969811.0)	(37.0, 266864.0)
I_72hrsS3_Data1	(13.0, 2.0)	(14.0, 22.0)	(15.0, 181.0)	(16.0, 502.0)	(17.0, 1106.0)	(18.0, 1840.0)	(19.0, 3160.0)	(20.0, 5219.0)	(21.0, 8748.0)	(22.0, 13977.0)	(23.0, 22741.0)	(24.0, 33550.0)	(25.0, 50184.0)	(26.0, 71157.0)	(27.0, 101223.0)	(28.0, 138344.0)	(29.0, 191045.0)	(30.0, 249976.0)	(31.0, 331073.0)	(32.0, 434369.0)	(33.0, 605556.0)	(34.0, 908273.0)	(35.0, 1961649.0)	(36.0, 11955012.0)	(37.0, 1462146.0)		
I_72hrsS3_Data2	(11.0, 10.0)	(12.0, 185.0)	(13.0, 648.0)	(14.0, 1686.0)	(15.0, 3453.0)	(16.0, 5672.0)	(17.0, 7728.0)	(18.0, 9696.0)	(19.0, 12819.0)	(20.0, 16830.0)	(21.0, 23666.0)	(22.0, 31505.0)	(23.0, 41513.0)	(24.0, 52720.0)	(25.0, 68429.0)	(26.0, 86362.0)	(27.0, 111055.0)	(28.0, 138482.0)	(29.0, 177341.0)	(30.0, 225344.0)	(31.0, 297204.0)	(32.0, 397552.0)	(33.0, 595610.0)	(34.0, 1035676.0)	(35.0, 2912074.0)	(36.0, 11640009.0)	(37.0, 657786.0)
U_12hrsN1_Data1	(14.0, 5.0)	(15.0, 37.0)	(16.0, 174.0)	(17.0, 290.0)	(18.0, 503.0)	(19.0, 730.0)	(20.0, 1212.0)	(21.0, 2142.0)	(22.0, 4163.0)	(23.0, 8522.0)	(24.0, 15685.0)	(25.0, 28855.0)	(26.0, 48298.0)	(27.0, 77003.0)	(28.0, 110741.0)	(29.0, 155570.0)	(30.0, 205565.0)	(31.0, 271307.0)	(32.0, 355343.0)	(33.0, 501690.0)	(34.0, 792278.0)	(35.0, 2337731.0)	(36.0, 14559850.0)	(37.0, 735600.0)			
U_12hrsN1_Data2	(11.0, 1.0)	(12.0, 48.0)	(13.0, 255.0)	(14.0, 724.0)	(15.0, 1449.0)	(16.0, 2373.0)	(17.0, 3480.0)	(18.0, 4776.0)	(19.0, 7248.0)	(20.0, 11536.0)	(21.0, 18884.0)	(22.0, 28599.0)	(23.0, 40877.0)	(24.0, 54280.0)	(25.0, 69854.0)	(26.0, 86607.0)	(27.0, 108250.0)	(28.0, 133303.0)	(29.0, 170403.0)	(30.0, 215593.0)	(31.0, 288894.0)	(32.0, 404714.0)	(33.0, 680076.0)	(34.0, 1439988.0)	(35.0, 4620063.0)	(36.0, 11448669.0)	(37.0, 372350.0)
U_12hrsN2_Data1	(14.0, 9.0)	(15.0, 47.0)	(16.0, 192.0)	(17.0, 357.0)	(18.0, 520.0)	(19.0, 836.0)	(20.0, 1286.0)	(21.0, 2352.0)	(22.0, 4113.0)	(23.0, 8279.0)	(24.0, 15170.0)	(25.0, 27654.0)	(26.0, 46134.0)	(27.0, 73010.0)	(28.0, 106719.0)	(29.0, 150144.0)	(30.0, 199178.0)	(31.0, 262080.0)	(32.0, 340210.0)	(33.0, 480438.0)	(34.0, 758926.0)	(35.0, 2210990.0)	(36.0, 14190597.0)	(37.0, 771510.0)			
U_12hrsN2_Data2	(11.0, 2.0)	(12.0, 21.0)	(13.0, 225.0)	(14.0, 648.0)	(15.0, 1466.0)	(16.0, 2428.0)	(17.0, 3486.0)	(18.0, 4811.0)	(19.0, 7225.0)	(20.0, 11177.0)	(21.0, 18400.0)	(22.0, 28034.0)	(23.0, 39833.0)	(24.0, 52943.0)	(25.0, 67606.0)	(26.0, 82520.0)	(27.0, 103486.0)	(28.0, 126482.0)	(29.0, 159828.0)	(30.0, 201973.0)	(31.0, 270643.0)	(32.0, 377428.0)	(33.0, 629409.0)	(34.0, 1318814.0)	(35.0, 4288352.0)	(36.0, 11446172.0)	(37.0, 407339.0)
