Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
I_4hrsS1_Data2	(100, 5676.0)	(102, 6693.0)	(104, 7730.0)	(106, 8106.0)	(108, 7898.0)	(110, 8033.0)	(112, 9017.0)	(114, 10274.0)	(116, 10866.0)	(118, 10717.0)	(120, 10884.0)	(122, 11681.0)	(124, 13602.0)	(126, 14191.0)	(128, 14394.0)	(130, 14580.0)	(132, 15650.0)	(134, 17388.0)	(136, 18920.0)	(138, 19448.0)	(140, 18873.0)	(142, 23250.0)	(144, 31304.0)	(146, 0.0)	(148, 18395513.0)
I_4hrsS2_Data1	(100, 4541.0)	(102, 5506.0)	(104, 6413.0)	(106, 6508.0)	(108, 6345.0)	(110, 7008.0)	(112, 7544.0)	(114, 8843.0)	(116, 9187.0)	(118, 8937.0)	(120, 9399.0)	(122, 10289.0)	(124, 11177.0)	(126, 12383.0)	(128, 12087.0)	(130, 12474.0)	(132, 13594.0)	(134, 14839.0)	(136, 16012.0)	(138, 16688.0)	(140, 16352.0)	(142, 18183.0)	(144, 27111.0)	(146, 0.0)	(148, 19519964.0)
I_4hrsS2_Data2	(100, 4813.0)	(102, 5837.0)	(104, 6676.0)	(106, 6765.0)	(108, 6635.0)	(110, 7286.0)	(112, 7800.0)	(114, 9131.0)	(116, 9497.0)	(118, 9252.0)	(120, 9748.0)	(122, 10550.0)	(124, 11467.0)	(126, 12703.0)	(128, 12323.0)	(130, 12753.0)	(132, 13890.0)	(134, 15172.0)	(136, 16310.0)	(138, 17053.0)	(140, 17008.0)	(142, 20796.0)	(144, 30957.0)	(146, 0.0)	(148, 19506962.0)
I_4hrsS3_Data1	(100, 3313.0)	(102, 3877.0)	(104, 4517.0)	(106, 4713.0)	(108, 4651.0)	(110, 4953.0)	(112, 5668.0)	(114, 6437.0)	(116, 6983.0)	(118, 7044.0)	(120, 7246.0)	(122, 7867.0)	(124, 8867.0)	(126, 9427.0)	(128, 9774.0)	(130, 9928.0)	(132, 10890.0)	(134, 12123.0)	(136, 12945.0)	(138, 13810.0)	(140, 13381.0)	(142, 15642.0)	(144, 26263.0)	(146, 0.0)	(148, 19711645.0)
I_4hrsS3_Data2	(100, 3597.0)	(102, 4189.0)	(104, 4760.0)	(106, 5025.0)	(108, 4938.0)	(110, 5230.0)	(112, 5929.0)	(114, 6678.0)	(116, 7256.0)	(118, 7311.0)	(120, 7541.0)	(122, 8191.0)	(124, 9185.0)	(126, 9774.0)	(128, 10004.0)	(130, 10258.0)	(132, 11191.0)	(134, 12408.0)	(136, 13260.0)	(138, 14215.0)	(140, 13977.0)	(142, 18000.0)	(144, 29574.0)	(146, 0.0)	(148, 19699473.0)
I_72hrsS1_Data1	(100, 3120.0)	(102, 3647.0)	(104, 4229.0)	(106, 4162.0)	(108, 4421.0)	(110, 4946.0)	(112, 5206.0)	(114, 6108.0)	(116, 6422.0)	(118, 6544.0)	(120, 6978.0)	(122, 7359.0)	(124, 8718.0)	(126, 9068.0)	(128, 9346.0)	(130, 9693.0)	(132, 10489.0)	(134, 11687.0)	(136, 12729.0)	(138, 13411.0)	(140, 13341.0)	(142, 14965.0)	(144, 25132.0)	(146, 0.0)	(148, 19696289.0)
I_72hrsS1_Data2	(100, 3341.0)	(102, 3943.0)	(104, 4463.0)	(106, 4386.0)	(108, 4656.0)	(110, 5173.0)	(112, 5442.0)	(114, 6329.0)	(116, 6663.0)	(118, 6793.0)	(120, 7245.0)	(122, 7574.0)	(124, 8933.0)	(126, 9300.0)	(128, 9567.0)	(130, 9954.0)	(132, 10754.0)	(134, 11928.0)	(136, 12967.0)	(138, 13788.0)	(140, 13813.0)	(142, 16580.0)	(144, 27802.0)	(146, 0.0)	(148, 19686616.0)
I_72hrsS2_Data1	(100, 3188.0)	(102, 3783.0)	(104, 4188.0)	(106, 4154.0)	(108, 4425.0)	(110, 4778.0)	(112, 5407.0)	(114, 6188.0)	(116, 6462.0)	(118, 6507.0)	(120, 6886.0)	(122, 7645.0)	(124, 8480.0)	(126, 8977.0)	(128, 8833.0)	(130, 9719.0)	(132, 10488.0)	(134, 11583.0)	(136, 12446.0)	(138, 12709.0)	(140, 12707.0)	(142, 14227.0)	(144, 23819.0)	(146, 0.0)	(148, 18809494.0)
I_72hrsS2_Data2	(100, 3376.0)	(102, 4031.0)	(104, 4400.0)	(106, 4408.0)	(108, 4596.0)	(110, 4999.0)	(112, 5626.0)	(114, 6371.0)	(116, 6641.0)	(118, 6809.0)	(120, 7179.0)	(122, 7907.0)	(124, 8730.0)	(126, 9194.0)	(128, 9065.0)	(130, 10009.0)	(132, 10712.0)	(134, 11795.0)	(136, 12697.0)	(138, 13166.0)	(140, 13144.0)	(142, 16055.0)	(144, 26144.0)	(146, 0.0)	(148, 18800039.0)
I_72hrsS3_Data1	(100, 13979.0)	(102, 16529.0)	(104, 19322.0)	(106, 20490.0)	(108, 19876.0)	(110, 19747.0)	(112, 22202.0)	(114, 26057.0)	(116, 27997.0)	(118, 27233.0)	(120, 27741.0)	(122, 29933.0)	(124, 34470.0)	(126, 37539.0)	(128, 37574.0)	(130, 36395.0)	(132, 38079.0)	(134, 43278.0)	(136, 47381.0)	(138, 48665.0)	(140, 46737.0)	(142, 49614.0)	(144, 40421.0)	(146, 0.0)	(148, 17819796.0)
