Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
I_4hrsS1_Data1	(1, 0.0455928481672616)	(2, 0.0009088630614955994)	(3, 0.001999498735290319)	(4, 0.0)	(5, 0.0)	(6, 0.0002512739052370187)	(7, 0.0025180853056731016)	(8, 0.00046512403735363025)	(9, 0.0)	(12, 0.0005421100849156104)	(17, 3.742377312040703e-05)	(22, 0.00026517416382459844)	(27, 0.00025341240655818475)	(32, 0.00016680310305095707)	(37, 0.00013044858059113308)	(42, 0.00010371731407655663)	(47, 0.00013686408455463144)	(52, 3.635452245982398e-05)	(57, 4.59777784050715e-05)	(62, 0.0015386517005790208)	(67, 0.00015717984710570955)	(72, 2.7800517175159508e-05)	(77, 2.0315762551078106e-05)	(82, 0.00558041919758298)	(87, 0.018453127900342415)	(92, 0.00046940103999596253)	(97, 0.03595889971540824)	(102, 1.8182737431014293e-05)	(107, 7.493968452726649e-06)	(112, 2.4648685236450283e-05)	(117, 0.00016310256445089044)	(122, 0.07048911340356004)	(127, 0.0001614555801793255)	(132, 1.2941134145467146e-05)	(137, 5.4042699828881364e-05)	(142, 0.00022755357862785583)	(147, 0.00023682518672796889)
I_4hrsS1_Data2	(1, 0.00020315762551078104)	(2, 8.019379954372936e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 2.1385013211661162e-05)	(8, 0.0)	(9, 0.0)	(12, 0.0025907943505927497)	(17, 0.00012617157794880086)	(22, 8.554005284664465e-06)	(27, 2.245426387224422e-05)	(32, 6.415503963498349e-05)	(37, 0.0001229638259670517)	(42, 2.245426387224422e-05)	(47, 0.00010692506605830581)	(52, 5.132403170798679e-05)	(57, 2.5662015853993393e-05)	(62, 6.736279161673266e-05)	(67, 1.603875990874587e-05)	(72, 0.00012724082860938391)	(77, 1.2831007926996697e-05)	(82, 5.8808786332068195e-05)	(87, 0.00012403307662763475)	(92, 7.270904491964796e-05)	(97, 7.377829558023101e-05)	(102, 8.77064228151445e-05)	(107, 8.029746635370212e-05)	(112, 0.0010332094525203172)	(117, 2.1464063791197588e-05)	(122, 4.8364751738839105e-05)	(127, 3.5528949564104467e-05)	(132, 3.883474324846392e-05)	(137, 0.00038707626731283753)	(142, 2.7101647678276642e-05)	(147, 0.00013807714957446418)
I_4hrsS2_Data1	(1, 0.0457551402874541)	(2, 0.0007683992181740166)	(3, 0.0017794508210345647)	(4, 0.0)	(5, 0.0)	(6, 0.00022243135262932059)	(7, 0.002375971266722288)	(8, 0.0003841996090870083)	(9, 0.0)	(12, 0.0004802495113587603)	(17, 2.7298393277234795e-05)	(22, 0.0002588292103323003)	(27, 0.0002578181587294398)	(32, 0.00016783456607485098)	(37, 0.00015873510164910603)	(42, 7.78509734202622e-05)	(47, 0.00013851406959189508)	(52, 5.25746833487485e-05)	(57, 5.358573495160905e-05)	(62, 0.001376041231493206)	(67, 0.00012739250196042908)	(72, 3.6397857702979736e-05)	(77, 2.4265238468653152e-05)	(82, 0.005082556407579975)	(87, 0.01925851093128772)	(92, 0.0004822716145644814)	(97, 0.03602579071312705)	(102, 2.1237247450066453e-05)	(107, 6.0723629526634106e-06)	(112, 2.0258345564731518e-05)	(117, 0.00018657420346580037)	(122, 0.07205949993781008)	(127, 0.00016977176169005655)	(132, 1.2218441044627022e-05)	(137, 7.752678063178227e-05)	(142, 0.00028622800657220396)	(147, 0.0002653693418696879)
I_4hrsS2_Data2	(1, 0.00022243135262932059)	(2, 8.088412822884385e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 5.055258014302741e-06)	(8, 0.0)	(9, 0.0)	(12, 0.002479098530214064)	(17, 0.00013548091478331344)	(22, 1.4154722440047674e-05)	(27, 2.7298393277234795e-05)	(32, 6.268519937735398e-05)	(37, 0.0001324477599747318)	(42, 1.718787724862932e-05)	(47, 0.00012132619234326578)	(52, 5.459678655446959e-05)	(57, 3.841996090870083e-05)	(62, 7.886202502312275e-05)	(67, 1.617682564576877e-05)	(72, 0.0001445803792090584)	(77, 2.0221032057210963e-05)	(82, 6.976256059737782e-05)	(87, 0.00013548091478331344)	(92, 6.369625098021454e-05)	(97, 8.088412822884385e-05)	(102, 9.304069647595519e-05)	(107, 0.00010323539108389935)	(112, 0.001034276741620226)	(117, 2.2310501496263924e-05)	(122, 5.888994245477892e-05)	(127, 3.9655174061709266e-05)	(132, 3.2590138645680736e-05)	(137, 0.0003999836537292532)	(142, 2.76104298828378e-05)	(147, 0.00016711982111822436)
I_4hrsS3_Data1	(1, 0.04493030907996822)	(2, 0.0007981140815232875)	(3, 0.0016012477484649607)	(4, 0.0)	(5, 0.0)	(6, 0.0002660380271744292)	(7, 0.0024696360258456445)	(8, 0.00037144932096052377)	(9, 0.0)	(12, 0.000539103473934598)	(17, 3.312926376134401e-05)	(22, 0.0002278891779946997)	(27, 0.00023290876341308518)	(32, 0.00015761498213730333)	(37, 0.00012047005004125095)	(42, 8.734078627990693e-05)	(47, 0.0001254896354596364)	(52, 3.6141015012375286e-05)	(57, 6.425069335533384e-05)	(62, 0.0014767620300890013)	(67, 0.00012247788420860514)	(72, 3.112142959398983e-05)	(77, 1.3050922087802186e-05)	(82, 0.004291745532719565)	(87, 0.0192380630745041)	(92, 0.00039855508221980527)	(97, 0.03664799313963222)	(102, 1.5061365273602503e-05)	(107, 1.4064772214182531e-05)	(112, 1.5078589912194155e-05)	(117, 0.00019315602723363168)	(122, 0.07201044627244366)	(127, 0.0001753937524221222)	(132, 1.6148216404266562e-05)	(137, 6.569938572893711e-05)	(142, 0.00023996323398754195)	(147, 0.00022321830572740126)
I_4hrsS3_Data2	(1, 0.00024595968550088736)	(2, 9.537212294932368e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 1.0039170836770913e-05)	(8, 0.0)	(9, 0.0)	(12, 0.002504773123774343)	(17, 0.00011243871337183422)	(22, 4.015668334708365e-06)	(27, 2.8109678342958554e-05)	(32, 6.525461043901094e-05)	(37, 0.0001295053037943448)	(42, 2.409401000825019e-05)	(47, 0.00011444654753918841)	(52, 4.61801858491462e-05)	(57, 1.4054839171479277e-05)	(62, 7.02741958573964e-05)	(67, 1.3050922087802186e-05)	(72, 0.0001274974696269906)	(77, 8.03133666941673e-06)	(82, 5.0195854183854565e-05)	(87, 0.0001505875625515637)	(92, 7.127811294107348e-05)	(97, 8.232120086152148e-05)	(102, 8.735717290499802e-05)	(107, 8.539757867523198e-05)	(112, 0.0009560646857482232)	(117, 2.4147371650657682e-05)	(122, 5.438248178322817e-05)	(127, 3.7303639689911175e-05)	(132, 3.43229199848644e-05)	(137, 0.0003892470827043286)	(142, 3.342431634814914e-05)	(147, 0.00013401373732180552)
I_72hrsS1_Data1	(1, 0.047874134147083046)	(2, 0.001030253779146759)	(3, 0.00225148142954999)	(4, 0.0)	(5, 0.0)	(6, 0.00024123015316607037)	(7, 0.0023369171087963066)	(8, 0.0005578447291965377)	(9, 0.0)	(12, 0.00048246030633214074)	(17, 1.8092261487455277e-05)	(22, 0.00022916864550776684)	(27, 0.0001980097507238161)	(32, 0.00016082010211071357)	(37, 0.00011257407147749951)	(42, 8.242030233174071e-05)	(47, 0.00011659457403026735)	(52, 2.9148643507566836e-05)	(57, 6.432804084428543e-05)	(62, 0.0013629503653882977)	(67, 0.00017388673540720908)	(72, 2.110763840203116e-05)	(77, 1.0051256381919598e-05)	(82, 0.006265953228488678)	(87, 0.01808824098490251)	(92, 0.0004171271398496633)	(97, 0.03479744959420565)	(102, 1.3068770352662077e-05)	(107, 1.4081007897624957e-05)	(112, 9.057322343943243e-06)	(117, 0.00019336372863439064)	(122, 0.06847947977246255)	(127, 0.00017153033706225824)	(132, 1.6163373561141538e-05)	(137, 7.18281287632312e-05)	(142, 0.00026651740070828364)	(147, 0.00022339233548004906)
I_72hrsS1_Data2	(1, 0.00027138392231182916)	(2, 0.00010051256381919599)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 1.5076884572879398e-05)	(8, 0.0)	(9, 0.0)	(12, 0.0024856757032487168)	(17, 0.00012061507658303518)	(22, 5.025628190959799e-06)	(27, 3.517939733671859e-05)	(32, 7.136392031162915e-05)	(37, 0.00016484060466348142)	(42, 2.6133266592990957e-05)	(47, 0.00011357919711569148)	(52, 5.729216137694171e-05)	(57, 2.110763840203116e-05)	(62, 6.734341775886131e-05)	(67, 2.110763840203116e-05)	(72, 0.0001377022124322985)	(77, 9.046130743727638e-06)	(82, 7.035879467343718e-05)	(87, 0.00015880985083432968)	(92, 5.4276784462365834e-05)	(97, 8.443055360812464e-05)	(102, 8.545064190471934e-05)	(107, 0.00010963548674997811)	(112, 0.0010004033114879402)	(117, 1.6115283257225886e-05)	(122, 4.7380193359375566e-05)	(127, 2.825660301560724e-05)	(132, 2.8291323681519237e-05)	(137, 0.00036428012388681306)	(142, 3.9532915160914525e-05)	(147, 0.00012394207313232503)
I_72hrsS2_Data1	(1, 0.047897908428185205)	(2, 0.0010522387616033657)	(3, 0.0021728730427109503)	(4, 0.0)	(5, 0.0)	(6, 0.0002051865585126563)	(7, 0.0023727984074155893)	(8, 0.0004524626674894473)	(9, 0.0)	(12, 0.00048718654662235824)	(17, 2.946268532489424e-05)	(22, 0.0002241268562215169)	(27, 0.00023464924383755057)	(32, 0.00015467909795569473)	(37, 0.00012416417386919713)	(42, 6.73432807426154e-05)	(47, 0.00011258954749156013)	(52, 3.36716403713077e-05)	(57, 5.787313188818511e-05)	(62, 0.0014226268056877504)	(67, 0.00012942536767721397)	(72, 3.472387913291107e-05)	(77, 2.1044775232067312e-05)	(82, 0.006363940030177155)	(87, 0.017784939548620086)	(92, 0.00042510445968775974)	(97, 0.034751237340712754)	(102, 1.7891209825498822e-05)	(107, 1.5794576828854577e-05)	(112, 2.2125744144089924e-05)	(117, 0.00019401329587878538)	(122, 0.06897496304984307)	(127, 0.0001806609394894989)	(132, 7.404542515470972e-06)	(137, 6.674053820184442e-05)	(142, 0.000256802144972812)	(147, 0.0002509371065484271)
I_72hrsS2_Data2	(1, 0.0002367537213607573)	(2, 8.944029473628609e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 1.0522387616033656e-05)	(8, 0.0)	(9, 0.0)	(12, 0.0023717461686539863)	(17, 0.00011785074129957696)	(22, 9.470148854430292e-06)	(27, 3.68283566561178e-05)	(32, 6.1029848172995205e-05)	(37, 0.00014520894910126445)	(42, 2.3149252755274045e-05)	(47, 0.00013047760643881734)	(52, 5.1559699318564915e-05)	(57, 3.2619401609704335e-05)	(62, 7.576119083544233e-05)	(67, 1.7888058947257217e-05)	(72, 0.00015257462043248804)	(77, 2.209701399367068e-05)	(82, 7.997014588185578e-05)	(87, 0.00015362685919409139)	(92, 7.681342959704569e-05)	(97, 8.944029473628609e-05)	(102, 9.050942006257485e-05)	(107, 9.687737270587011e-05)	(112, 0.0009872969235859472)	(117, 3.058107490601249e-05)	(122, 6.755160678885204e-05)	(127, 4.649342322526758e-05)	(132, 4.549395399105445e-05)	(137, 0.0003825202811776254)	(142, 3.396746017095037e-05)	(147, 0.00016063796463400954)
